model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
baseline_lgb,val,2026-08-18T07:02:37,0.6245654692931634,0.590823381521056,0.8369565217391305,0.49815157116451014,0.5906493885725286,0.8188539741219963,0.591,0.25626807796970463,1015602,1082,0,32.6,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_lgb,test,2026-08-18T07:02:38,0.6977648202137998,0.6610407876230661,0.8355314197051978,0.5989988876529477,0.6789165711063699,0.8375973303670745,0.909,0.25626807796970463,1015882,1798,0,32.6,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,val,2026-08-18T07:03:20,0.6339181286549708,0.6015037593984962,0.8630573248407644,0.5009242144177449,0.6001927200536527,0.8142329020332717,0.596,0.26144087314605713,1015602,1082,0,39.7,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,test,2026-08-18T07:03:20,0.7041876046901172,0.6758280479210712,0.8854254422914911,0.5845383759733037,0.6833460928138662,0.8337041156840934,0.931,0.26144087314605713,1015882,1798,0,39.7,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
edge_scalar_lgb,val,2026-08-18T07:04:01,0.6347724620770129,0.5882352941176471,0.8607594936708861,0.5027726432532348,0.5969263231722114,0.8207024029574861,0.601,0.2584484246525443,1015602,1082,0,33.5,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_lgb,test,2026-08-18T07:04:02,0.7021346469622332,0.6580921757770632,0.8572574178027266,0.5945494994438265,0.6889264699528387,0.8553948832035595,0.92,0.2584484246525443,1015882,1798,0,33.5,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,val,2026-08-18T07:04:34,0.6212211025489034,0.60375,0.8661157024793389,0.48428835489833644,0.5979689780260931,0.8197781885397413,0.587,0.27761825919151306,1015602,1082,0,30.6,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 93, ""train_rows"": 2535504}"
edge_scalar_xgb,test,2026-08-18T07:04:35,0.6883784710318821,0.6633273703041145,0.8972296693476318,0.5583982202447163,0.6910067095828153,0.8559510567296996,0.93,0.27761825919151306,1015882,1798,0,30.6,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": ""ssl_lstm"", ""emb_seed"": 0, ""n_feature"": 93, ""train_rows"": 2535504}"
baseline_lgb,val,2026-08-18T07:05:02,0.6149425287356322,0.579746835443038,0.8130699088145896,0.4944547134935305,0.583355501995768,0.8197781885397413,0.582,0.2302066385532107,1015602,1082,1,22.4,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_lgb,test,2026-08-18T07:05:03,0.6913975055964183,0.6546227417640808,0.8133935289691497,0.6012235817575083,0.6742385810337738,0.8648498331479422,0.907,0.2302066385532107,1015882,1798,1,22.4,final,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
baseline_xgb,val,2026-08-18T07:05:41,0.6326291079812206,0.6076107298814722,0.8665594855305466,0.49815157116451014,0.6051810578420918,0.8151571164510166,0.598,0.26028937101364136,1015602,1082,1,36.2,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1, ""device"": ""local-i5-13420H"", ""encoder"": null, ""emb_seed"": null, ""n_feature"": 90, ""train_rows"": 2535504}"
