model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
sage_lstm,val,2026-08-15T08:09:35,0.45477772100153296,0.35931790499390986,0.5085714285714286,0.411275415896488,0.4173441565549296,0.7652495378927912,0.46299999952316284,0.6868910789489746,1015602,1082,0,283.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 1523920}"
sage_lstm,test,2026-08-15T08:09:36,0.5245161290322581,0.46427795874049943,0.6244239631336406,0.4521690767519466,0.5126056821371227,0.7780867630700778,0.7039999961853027,0.6868910789489746,1015882,1798,0,283.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 1523920}"
sage_lstm,val,2026-08-15T08:15:04,0.45787139689578715,0.3929471032745592,0.5720221606648199,0.38170055452865065,0.42496713416810955,0.7486136783733827,0.4659999907016754,0.7105692028999329,1015602,1082,1,324.3,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 61, ""train_rows"": 1523920}"
sage_lstm,test,2026-08-15T08:15:05,0.5093333333333333,0.46680080482897385,0.6356073211314476,0.42491657397107896,0.49260619553924123,0.7791991101223582,0.6880000233650208,0.7105692028999329,1015882,1798,1,324.3,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 61, ""train_rows"": 1523920}"
sage_lstm,val,2026-08-15T08:20:02,0.4354669464847849,0.4308263695450325,0.5036407766990292,0.3835489833641405,0.3972493805307742,0.7476894639556377,0.44699999690055847,0.5614375472068787,1015602,1082,2,293.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 55, ""train_rows"": 1523920}"
sage_lstm,test,2026-08-15T08:20:03,0.5106514356282803,0.5016611295681063,0.5739070090215128,0.4599555061179088,0.4718194599905437,0.7597330367074527,0.6729999780654907,0.5614375472068787,1015882,1798,2,293.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 55, ""train_rows"": 1523920}"
sage_lstm,val,2026-08-15T08:25:16,0.4525230602278893,0.4227511093182735,0.5479632063074902,0.3853974121996303,0.4158244249748168,0.7486136783733827,0.4659999907016754,0.6306646466255188,1015602,1082,3,309.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 58, ""train_rows"": 1523920}"
sage_lstm,test,2026-08-15T08:25:17,0.5375153751537516,0.49430740037950666,0.6011004126547456,0.4860956618464961,0.5253658109719488,0.7986651835372637,0.7300000190734863,0.6306646466255188,1015882,1798,3,309.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 58, ""train_rows"": 1523920}"
sage_noedge_lstm,val,2026-08-15T08:29:51,0.45106861642294716,0.3956204379562044,0.5761494252873564,0.3706099815157117,0.4091278737775116,0.767097966728281,0.46000000834465027,0.6805223226547241,1015602,1082,0,270.7,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 57, ""train_rows"": 1523920}"
sage_noedge_lstm,test,2026-08-15T08:29:52,0.49321266968325794,0.45438441098317095,0.5887345679012346,0.42436040044493883,0.4672739802440278,0.7769744160177976,0.6620000004768372,0.6805223226547241,1015882,1798,0,270.7,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 57, ""train_rows"": 1523920}"
sage_noedge_lstm,val,2026-08-15T08:34:42,0.4570446735395189,0.4039444850255661,0.6009036144578314,0.3687615526802218,0.4150885859123914,0.7513863216266173,0.4690000116825104,0.7472594380378723,1015602,1082,1,286.6,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 61, ""train_rows"": 1523920}"
sage_noedge_lstm,test,2026-08-15T08:34:42,0.4950166112956811,0.44627054361567636,0.6146864686468647,0.41434927697441604,0.46710988917825236,0.7719688542825361,0.6639999747276306,0.7472594380378723,1015882,1798,1,286.6,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 61, ""train_rows"": 1523920}"
