model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
rf,val,2026-08-12T03:54:36,0.585106383,0.500986193,0.81147541,0.457486137,0.485474617,0.659889094,0.534,0.293307849,1015602,1082,0,827,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,test,2026-08-12T03:54:36,0.64600551,0.559001513,0.848101266,0.521690768,0.559161553,0.68131257,0.861,0.293307849,1015882,1798,0,827,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,val,2026-08-12T04:09:33,0.582695703,0.499009901,0.802269044,0.457486137,0.480377441,0.651571165,0.53,0.289872802,1015602,1082,1,890.8,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,test,2026-08-12T04:09:33,0.651994498,0.564102564,0.854054054,0.527252503,0.552011099,0.666295884,0.86,0.289872802,1015882,1798,1,890.8,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,val,2026-08-12T04:24:37,0.590069284,0.5,0.786153846,0.472273567,0.487473515,0.644177449,0.544,0.256248997,1015602,1082,2,896.6,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,test,2026-08-12T04:24:37,0.663076405,0.556271315,0.839727195,0.547830923,0.558218739,0.666295884,0.864,0.256248997,1015882,1798,2,896.6,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,val,2026-08-12T04:39:28,0.585309427,0.509470934,0.782071097,0.467652495,0.485727919,0.670055453,0.533,0.259633911,1015602,1082,3,885.2,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
rf,test,2026-08-12T04:39:28,0.660593792,0.570786517,0.839622642,0.544493882,0.562270902,0.707452725,0.859,0.259633911,1015882,1798,3,885.2,final,"{""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
xgb,val,2026-08-12T04:40:07,0.64092219,0.605230386,0.851454824,0.513863216,0.597780038,0.806839187,0.6,0.225960925,1015602,1082,0,36.1,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
xgb,test,2026-08-12T04:40:07,0.69599218,0.667374381,0.840283242,0.593993326,0.67963401,0.840934372,0.923,0.225960925,1015882,1798,0,36.1,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
xgb,val,2026-08-12T04:40:24,0.617598229,0.463808855,0.769655172,0.515711645,0.57331575,0.777264325,0.584,0.215486228,1015602,1082,1,15.6,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
xgb,test,2026-08-12T04:40:25,0.645745323,0.552724422,0.705804749,0.595105673,0.623472113,0.778642937,0.904,0.215486228,1015882,1798,1,15.6,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
xgb,val,2026-08-12T04:41:09,0.639858072,0.600502513,0.888341544,0.5,0.603839394,0.804990758,0.603,0.251239955,1015602,1082,2,41.4,final,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
