model,split,time,f1_minority,f1@0.5,precision,recall,pr_auc,recall@fpr1%,precision@1000,threshold,n,n_pos,seed,train_time_s,stage,params
sage_lstm,val,2026-08-17T09:56:39,0.44742729306487694,0.4180008654262224,0.56657223796034,0.36968576709796674,0.4070144847280188,0.756007393715342,0.44699999690055847,0.6224363446235657,1015602,1082,0,561.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 55, ""train_rows"": 2535504}"
sage_lstm,test,2026-08-17T09:56:39,0.5330117576123002,0.49378080262849094,0.5819618169848585,0.4916573971078977,0.5085694447140937,0.800333704115684,0.7210000157356262,0.6224363446235657,1015882,1798,0,561.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 55, ""train_rows"": 2535504}"
sage_lstm,val,2026-08-17T10:05:58,0.455077086656034,0.423407917383821,0.5356695869837297,0.3955637707948244,0.4150796411416119,0.7846580406654344,0.460999995470047,0.5919804573059082,1015602,1082,1,556.1,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_lstm,test,2026-08-17T10:05:59,0.5142857142857142,0.47939743021710235,0.5034629728289824,0.5255839822024472,0.49493536582307235,0.8014460511679644,0.6940000057220459,0.5919804573059082,1015882,1798,1,556.1,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_lstm,val,2026-08-17T10:15:49,0.4424276800907544,0.40592473979183347,0.5726872246696035,0.36044362292051757,0.39930657256226443,0.7365988909426987,0.4480000138282776,0.6905017495155334,1015602,1082,2,587.7,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 57, ""train_rows"": 2535504}"
sage_lstm,test,2026-08-17T10:15:50,0.5517023959646911,0.5063520871143375,0.6368267831149927,0.4866518353726363,0.5377781457227596,0.814238042269188,0.7350000143051147,0.6905017495155334,1015882,1798,2,587.7,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 57, ""train_rows"": 2535504}"
sage_lstm,val,2026-08-17T10:25:07,0.44166666666666665,0.3737166324435318,0.6204013377926422,0.34288354898336415,0.40997616685615934,0.7902033271719039,0.44699999690055847,0.7096359133720398,1015602,1082,3,555.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_lstm,test,2026-08-17T10:25:08,0.5106902871105681,0.4364761558063342,0.5663956639566395,0.4649610678531702,0.4838542843731553,0.8120133481646273,0.6700000166893005,0.7096359133720398,1015882,1798,3,555.2,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_noedge_lstm,val,2026-08-17T10:32:34,0.40502183406113534,0.34146341463414637,0.49466666666666664,0.34288354898336415,0.3657535291916243,0.7541589648798521,0.4090000092983246,0.6697349548339844,1015602,1082,0,443.6,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_noedge_lstm,test,2026-08-17T10:32:35,0.4878188592719977,0.4017683465959328,0.5032525133057363,0.4733036707452725,0.4502948259458418,0.7725250278086763,0.640999972820282,0.6697349548339844,1015882,1798,0,443.6,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_noedge_lstm,val,2026-08-17T10:39:53,0.4142283419391853,0.37190388170055455,0.546142208774584,0.333641404805915,0.3777842868711751,0.7569316081330869,0.421999990940094,0.658153772354126,1015602,1082,1,435.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 53, ""train_rows"": 2535504}"
sage_noedge_lstm,test,2026-08-17T10:39:54,0.47983392645314354,0.40579157934844734,0.5139771283354511,0.449944382647386,0.4493210032190917,0.7630700778642937,0.6600000262260437,0.658153772354126,1015882,1798,1,435.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 53, ""train_rows"": 2535504}"
sage_noedge_lstm,val,2026-08-17T10:47:36,0.3973098810139679,0.36580670003850596,0.4512338425381904,0.35489833641404805,0.3586838152517072,0.755083179297597,0.40299999713897705,0.5933624505996704,1015602,1082,2,460.4,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 56, ""train_rows"": 2535504}"
sage_noedge_lstm,test,2026-08-17T10:47:37,0.4654054054054054,0.4264796865333058,0.4526813880126183,0.4788654060066741,0.4184497556147327,0.7614015572858732,0.6359999775886536,0.5933624505996704,1015882,1798,2,460.4,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 56, ""train_rows"": 2535504}"
sage_noedge_lstm,val,2026-08-17T10:55:04,0.42486486486486486,0.3663329625509826,0.51171875,0.3632162661737523,0.37764637715387384,0.7578558225508318,0.4269999861717224,0.6315919756889343,1015602,1082,3,444.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
sage_noedge_lstm,test,2026-08-17T10:55:05,0.443169968717414,0.3631123919308357,0.4170755642787046,0.4727474972191324,0.40477963336429373,0.7436040044493882,0.6230000257492065,0.6315919756889343,1015882,1798,3,444.8,final,"{""hid"": 32, ""neg_ratio"": 50, ""batch"": 8192, ""patience"": 40, ""epochs_run"": 54, ""train_rows"": 2535504}"
