cfg_id,seed,num_leaves,learning_rate,f1_val,pr_auc,n_tree,fit_s,params
0,0,32,0.1,0.01375398298259743,0.006465641767255104,10,5.1,"{""num_leaves"": 32, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,1,32,0.1,0.048299968223705116,0.021641936725970156,9,2.1,"{""num_leaves"": 32, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,2,32,0.1,0.03267635779898332,0.014807282396091085,3,1.9,"{""num_leaves"": 32, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
1,0,32,0.018,0.4865174985656913,0.3619519255269755,4,2.1,"{""num_leaves"": 32, ""learning_rate"": 0.018, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
1,1,32,0.018,0.41657579062159217,0.30413409103884625,6,2.0,"{""num_leaves"": 32, ""learning_rate"": 0.018, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
1,2,32,0.018,0.5385500575373993,0.4626089596418571,306,11.0,"{""num_leaves"": 32, ""learning_rate"": 0.018, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
2,0,32,0.0032,0.5249849488260084,0.3985007109359596,84,3.7,"{""num_leaves"": 32, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
2,1,32,0.0032,0.543859649122807,0.4025431907856165,117,4.2,"{""num_leaves"": 32, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
2,2,32,0.0032,0.5440747227086982,0.3971658213149493,97,3.8,"{""num_leaves"": 32, ""learning_rate"": 0.0032, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
3,0,256,0.1,0.04299846804974944,0.01809199453835693,40,5.2,"{""num_leaves"": 256, ""learning_rate"": 0.1, ""n_estimators"": 1000, ""reg_lambda"": 1.0, ""reg_alpha"": 1.8, ""scale_pos_weight"": 835.4312267657992, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
