cfg_id,seed,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,num_leaves,learning_rate,reg_lambda,reg_alpha,scale_pos_weight,params
0,0,0.6039076376554174,0.6023529411764705,0.5487280039359578,244,19.3,32,0.01391,1.8599,1.5269,5.108,"{""num_leaves"": 32, ""learning_rate"": 0.01391, ""reg_lambda"": 1.8599, ""reg_alpha"": 1.5269, ""scale_pos_weight"": 5.108, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,1,0.6054054054054054,0.6020106445890006,0.5563495995530319,894,59.2,32,0.01391,1.8599,1.5269,5.108,"{""num_leaves"": 32, ""learning_rate"": 0.01391, ""reg_lambda"": 1.8599, ""reg_alpha"": 1.5269, ""scale_pos_weight"": 5.108, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,2,0.6078199052132701,0.6039719626168224,0.550536079368419,386,29.2,32,0.01391,1.8599,1.5269,5.108,"{""num_leaves"": 32, ""learning_rate"": 0.01391, ""reg_lambda"": 1.8599, ""reg_alpha"": 1.5269, ""scale_pos_weight"": 5.108, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
1,0,0.6142450142450142,0.6064281382656155,0.5829078500356494,319,34.1,64,0.02528,25.1254,1.4214,3.408,"{""num_leaves"": 64, ""learning_rate"": 0.02528, ""reg_lambda"": 25.1254, ""reg_alpha"": 1.4214, ""scale_pos_weight"": 3.408, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
1,1,0.6242707117852976,0.6151012891344383,0.5844011345483593,287,31.5,64,0.02528,25.1254,1.4214,3.408,"{""num_leaves"": 64, ""learning_rate"": 0.02528, ""reg_lambda"": 25.1254, ""reg_alpha"": 1.4214, ""scale_pos_weight"": 3.408, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
1,2,0.6120538326506729,0.5952235150030618,0.5782887128743662,242,28.2,64,0.02528,25.1254,1.4214,3.408,"{""num_leaves"": 64, ""learning_rate"": 0.02528, ""reg_lambda"": 25.1254, ""reg_alpha"": 1.4214, ""scale_pos_weight"": 3.408, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
2,0,0.6064209274673008,0.581596339603457,0.5784016032784739,89,16.9,128,0.09832,62.4848,1.7196,7.82,"{""num_leaves"": 128, ""learning_rate"": 0.09832, ""reg_lambda"": 62.4848, ""reg_alpha"": 1.7196, ""scale_pos_weight"": 7.82, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
2,1,0.619917501473188,0.5914602003162889,0.5809902603648357,150,26.1,128,0.09832,62.4848,1.7196,7.82,"{""num_leaves"": 128, ""learning_rate"": 0.09832, ""reg_lambda"": 62.4848, ""reg_alpha"": 1.7196, ""scale_pos_weight"": 7.82, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
2,2,0.6146627565982404,0.5950759559979046,0.5798220880993039,138,24.1,128,0.09832,62.4848,1.7196,7.82,"{""num_leaves"": 128, ""learning_rate"": 0.09832, ""reg_lambda"": 62.4848, ""reg_alpha"": 1.7196, ""scale_pos_weight"": 7.82, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
3,0,0.6222732491389208,0.5913911416094823,0.583145269069547,362,47.1,128,0.03443,44.8638,2.5893,2.612,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
3,1,0.6242707117852976,0.5815873015873015,0.5785277140910826,338,37.6,128,0.03443,44.8638,2.5893,2.612,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
3,2,0.6160092807424594,0.5833333333333334,0.5816874779405291,324,36.1,128,0.03443,44.8638,2.5893,2.612,"{""num_leaves"": 128, ""learning_rate"": 0.03443, ""reg_lambda"": 44.8638, ""reg_alpha"": 2.5893, ""scale_pos_weight"": 2.612, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
4,0,0.609000584453536,0.6070133010882709,0.558222965712787,245,43.8,1024,0.05696,12.9716,2.7884,6.683,"{""num_leaves"": 1024, ""learning_rate"": 0.05696, ""reg_lambda"": 12.9716, ""reg_alpha"": 2.7884, ""scale_pos_weight"": 6.683, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
4,1,0.6127098321342925,0.6106408706166868,0.558962170864551,340,57.2,1024,0.05696,12.9716,2.7884,6.683,"{""num_leaves"": 1024, ""learning_rate"": 0.05696, ""reg_lambda"": 12.9716, ""reg_alpha"": 2.7884, ""scale_pos_weight"": 6.683, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
4,2,0.6145772594752187,0.6096969696969697,0.5623218609800252,442,71.2,1024,0.05696,12.9716,2.7884,6.683,"{""num_leaves"": 1024, ""learning_rate"": 0.05696, ""reg_lambda"": 12.9716, ""reg_alpha"": 2.7884, ""scale_pos_weight"": 6.683, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
5,0,0.3951490651844366,0.2827965435978005,0.3816085890294468,995,138.1,4096,0.02385,0.806,1.3662,1.654,"{""num_leaves"": 4096, ""learning_rate"": 0.02385, ""reg_lambda"": 0.806, ""reg_alpha"": 1.3662, ""scale_pos_weight"": 1.654, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
5,1,0.40726035167328417,0.2769472856018883,0.3813292125729014,1000,129.5,4096,0.02385,0.806,1.3662,1.654,"{""num_leaves"": 4096, ""learning_rate"": 0.02385, ""reg_lambda"": 0.806, ""reg_alpha"": 1.3662, ""scale_pos_weight"": 1.654, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
5,2,0.3986371379897785,0.2861610633307271,0.3843115230882361,1000,140.0,4096,0.02385,0.806,1.3662,1.654,"{""num_leaves"": 4096, ""learning_rate"": 0.02385, ""reg_lambda"": 0.806, ""reg_alpha"": 1.3662, ""scale_pos_weight"": 1.654, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
6,0,0.6222732491389208,0.5906542056074766,0.5804052282031757,424,58.8,4096,0.02081,0.576,2.1461,1.121,"{""num_leaves"": 4096, ""learning_rate"": 0.02081, ""reg_lambda"": 0.576, ""reg_alpha"": 2.1461, ""scale_pos_weight"": 1.121, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
6,1,0.5770897832817338,0.561941251596424,0.5448344570660504,439,62.6,4096,0.02081,0.576,2.1461,1.121,"{""num_leaves"": 4096, ""learning_rate"": 0.02081, ""reg_lambda"": 0.576, ""reg_alpha"": 2.1461, ""scale_pos_weight"": 1.121, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
6,2,0.6115023474178404,0.5842696629213483,0.5696176926610349,365,57.7,4096,0.02081,0.576,2.1461,1.121,"{""num_leaves"": 4096, ""learning_rate"": 0.02081, ""reg_lambda"": 0.576, ""reg_alpha"": 2.1461, ""scale_pos_weight"": 1.121, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
7,0,0.6154741128563118,0.6121467227901383,0.5718106902842802,352,70.9,8192,0.03155,11.7366,1.4793,8.709,"{""num_leaves"": 8192, ""learning_rate"": 0.03155, ""reg_lambda"": 11.7366, ""reg_alpha"": 1.4793, ""scale_pos_weight"": 8.709, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
7,1,0.6162858816637375,0.6131736526946108,0.5722187281714736,301,68.9,8192,0.03155,11.7366,1.4793,8.709,"{""num_leaves"": 8192, ""learning_rate"": 0.03155, ""reg_lambda"": 11.7366, ""reg_alpha"": 1.4793, ""scale_pos_weight"": 8.709, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
7,2,0.6131907308377896,0.6120741183502689,0.5700651073492903,301,61.0,8192,0.03155,11.7366,1.4793,8.709,"{""num_leaves"": 8192, ""learning_rate"": 0.03155, ""reg_lambda"": 11.7366, ""reg_alpha"": 1.4793, ""scale_pos_weight"": 8.709, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
