round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,num_leaves,learning_rate,reg_lambda,reg_alpha,scale_pos_weight,params
0,0.125,0.45754716981132076,0.36342042755344417,0.2842316260602572,68,0.7,4096,0.00803,0.0146,1.0426,8.319,"{""num_leaves"": 4096, ""learning_rate"": 0.00803, ""reg_lambda"": 0.0146, ""reg_alpha"": 1.0426, ""scale_pos_weight"": 8.319, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46563467492260063,0.07516040329972502,0.3357287232224839,30,0.5,512,0.07398,2.6702,2.3305,5.893,"{""num_leaves"": 512, ""learning_rate"": 0.07398, ""reg_lambda"": 2.6702, ""reg_alpha"": 2.3305, ""scale_pos_weight"": 5.893, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2670411028848609,0.262831638978428,0.10249353577124817,1,0.3,256,0.05294,0.0103,2.6923,1.302,"{""num_leaves"": 256, ""learning_rate"": 0.05294, ""reg_lambda"": 0.0103, ""reg_alpha"": 2.6923, ""scale_pos_weight"": 1.302, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.25938009787928223,0.20176991150442478,0.11051485378463763,1,1.3,16384,0.03931,0.0504,2.7099,5.873,"{""num_leaves"": 16384, ""learning_rate"": 0.03931, ""reg_lambda"": 0.0504, ""reg_alpha"": 2.7099, ""scale_pos_weight"": 5.873, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2609167344724708,0.25938009787928223,0.10168935680769764,29,0.3,4,0.01362,0.013,1.1773,7.036,"{""num_leaves"": 4, ""learning_rate"": 0.01362, ""reg_lambda"": 0.013, ""reg_alpha"": 1.1773, ""scale_pos_weight"": 7.036, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.2672367717797969,0.032667876588021776,0.12707395674845612,11,0.4,32,0.02957,2.8943,1.5776,9.975,"{""num_leaves"": 32, ""learning_rate"": 0.02957, ""reg_lambda"": 2.8943, ""reg_alpha"": 1.5776, ""scale_pos_weight"": 9.975, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.46851385390428213,0.0,0.3341624691665086,5,0.4,4096,0.03375,3.9979,2.225,4.5,"{""num_leaves"": 4096, ""learning_rate"": 0.03375, ""reg_lambda"": 3.9979, ""reg_alpha"": 2.225, ""scale_pos_weight"": 4.5, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4666666666666667,0.0,0.33816061763324456,65,1.6,16384,0.00504,7.6905,1.8511,3.792,"{""num_leaves"": 16384, ""learning_rate"": 0.00504, ""reg_lambda"": 7.6905, ""reg_alpha"": 1.8511, ""scale_pos_weight"": 3.792, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.4380475594493116,0.28954248366013075,0.37040828900458345,59,0.6,64,0.06827,54.4721,1.5322,6.144,"{""num_leaves"": 64, ""learning_rate"": 0.06827, ""reg_lambda"": 54.4721, ""reg_alpha"": 1.5322, ""scale_pos_weight"": 6.144, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
0,0.125,0.45095541401273886,0.0,0.33672656292198466,18,0.3,128,0.00961,2.3834,1.4982,4.525,"{""num_leaves"": 128, ""learning_rate"": 0.00961, ""reg_lambda"": 2.3834, ""reg_alpha"": 1.4982, ""scale_pos_weight"": 4.525, ""n_estimators"": 1000, ""max_bin"": 63, ""n_jobs"": -1, ""verbose"": -1}"
