cw,C,n_iter,cham_tran,f1,pr_auc,w_norm,s
None,0.0001,28,False,31.0641110376735,24.700802871880974,2.6442951658459632,3
None,0.001,55,False,42.33095107201759,37.316410512750394,6.981021751278796,3
None,0.01,127,False,48.88647474198805,45.224690392564945,13.957931779296997,8
None,0.1,295,False,51.0727367870225,47.92915988186233,22.768884892017624,21
None,1.0,760,False,51.69927909371782,48.56720410115732,34.79119533375209,45
None,10.0,1832,False,51.9453207150368,48.88101641987308,60.272721523732535,160
None,100.0,3218,False,51.77228786251342,48.99477495883547,93.11846743825626,237
None,1000.0,3069,False,51.77228786251342,49.00574981260508,106.6723145647123,276
balanced,0.0001,86,False,36.75027262813522,32.10354938054976,11.097712848146458,10
balanced,0.001,222,False,38.453608247422686,34.093377906680985,20.7109996465919,19
balanced,0.01,597,False,38.51248089658686,34.46468327165931,36.1343011993897,35
balanced,0.1,1490,False,37.90238836967809,34.64954207529131,72.49965191621622,143
balanced,1.0,3542,False,37.66033863519754,33.16355093708167,117.43334500484939,348
balanced,10.0,6857,False,37.2568093385214,31.90799544379322,136.73454583050764,423
