cfg_id,seed,hidden,learning_rate_init,f1_val,pr_auc,n_epoch,loss,fit_s,params
0,0,"(32,)",0.003,0.5746102449888641,0.5500846899902322,16,0.003384,38.0,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
0,1,"(32,)",0.003,0.5813303521520402,0.5514728308304951,16,0.003352,47.2,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
0,2,"(32,)",0.003,0.5662308129619101,0.550435738286038,17,0.003351,53.1,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
1,0,"(32,)",0.001,0.5758799769186382,0.5478480594927262,19,0.003435,57.1,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
1,1,"(32,)",0.001,0.5663520266518601,0.5439750131604926,18,0.003529,53.0,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
1,2,"(32,)",0.001,0.5611510791366906,0.5422667594016262,19,0.003493,60.1,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
2,0,"(32,)",0.0003,0.5446623093681917,0.5194285870791142,24,0.003688,79.3,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
2,1,"(32,)",0.0003,0.5370165745856353,0.5065563769199665,23,0.003719,69.9,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
2,2,"(32,)",0.0003,0.5273416350839198,0.5010287737637191,24,0.003738,61.0,"{""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
3,0,"(64, 32)",0.003,0.5102272727272728,0.48060034412232455,23,0.002624,88.1,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
3,1,"(64, 32)",0.003,0.5768321513002365,0.5451866483063862,16,0.003048,49.8,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
3,2,"(64, 32)",0.003,0.55,0.5202848006060056,16,0.003037,50.6,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
4,0,"(64, 32)",0.001,0.5486313337216074,0.5213189017575087,16,0.003074,49.3,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
4,1,"(64, 32)",0.001,0.5837264150943396,0.560127080993226,16,0.003116,52.2,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
4,2,"(64, 32)",0.001,0.5316600114090131,0.4938496848648924,19,0.002889,57.8,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
5,0,"(64, 32)",0.0003,0.5513866231647635,0.5259995664509831,20,0.003255,63.4,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
5,1,"(64, 32)",0.0003,0.5643290999447819,0.5418398137259406,20,0.003304,62.7,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
5,2,"(64, 32)",0.0003,0.5540927303949628,0.5240688611444562,19,0.003273,75.6,"{""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
6,0,"(128, 64)",0.003,0.48902439024390243,0.4412110168652794,31,0.002063,191.0,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
6,1,"(128, 64)",0.003,0.5334914048606995,0.49375271582926517,27,0.002333,175.2,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
6,2,"(128, 64)",0.003,0.474802671523983,0.42144924097035796,40,0.001887,349.6,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
7,0,"(128, 64)",0.001,0.4898989898989899,0.4402410607275692,40,0.001497,279.5,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
7,1,"(128, 64)",0.001,0.5518453427065027,0.5221186682171485,17,0.002827,105.6,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
7,2,"(128, 64)",0.001,0.5313609467455621,0.5007716712507597,29,0.001982,186.1,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
8,0,"(128, 64)",0.0003,0.5594322885866351,0.5281241670491035,18,0.003096,114.2,"{""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0003, ""alpha"": 0.0001, ""batch_size"": 2048, ""max_iter"": 40, ""early_stopping"": false, ""solver"": ""adam"", ""activation"": ""relu""}"
