cfg_id,seed,min_samples_leaf,max_features,f1_val,pr_auc,fit_s,params
0,0,20,sqrt,0.5764002175095161,0.5355060085397298,28.7,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
0,1,20,sqrt,0.5797901711761457,0.532236177532048,28.2,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
0,2,20,sqrt,0.5640449438202247,0.5299894445014879,26.8,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
1,0,20,0.3,0.5736607142857143,0.5303583117883104,72.9,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
1,1,20,0.3,0.574146614437605,0.524611087248719,74.0,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
1,2,20,0.3,0.5764090644973853,0.5220447010090026,69.8,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
2,0,20,0.6,0.5752658086177952,0.5144624018052436,128.0,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
2,1,20,0.6,0.5754663651780667,0.5223246297789548,128.3,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
2,2,20,0.6,0.5748031496062992,0.5091699816789408,131.9,"{""n_estimators"": 100, ""min_samples_leaf"": 20, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
3,0,5,sqrt,0.5858701895462378,0.5374930156328993,28.0,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
3,1,5,sqrt,0.5880322209436134,0.5249901485828281,28.3,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
3,2,5,sqrt,0.586483390607102,0.5186520979242231,32.0,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
4,0,5,0.3,0.5886442641946698,0.4795468669283247,65.2,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
4,1,5,0.3,0.5955662073097663,0.48556895846693704,76.1,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
4,2,5,0.3,0.59375,0.479943514107439,63.4,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
5,0,5,0.6,0.5884433962264151,0.47815765309649,125.0,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
5,1,5,0.6,0.5882352941176471,0.477136970509587,121.6,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
5,2,5,0.6,0.5893604303646145,0.47724865279194056,125.2,"{""n_estimators"": 100, ""min_samples_leaf"": 5, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
6,0,1,sqrt,0.5786618444846293,0.4672580044752429,27.7,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
6,1,1,sqrt,0.5556238475722188,0.44821386949740666,27.1,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
6,2,1,sqrt,0.5684723067559343,0.462183738473255,27.1,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced"", ""n_jobs"": -1}"
7,0,1,0.3,0.5697042848521424,0.4561250412384325,61.8,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
7,1,1,0.3,0.5653495440729484,0.45333818723302793,65.7,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
7,2,1,0.3,0.537888198757764,0.43141380890552505,65.6,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.3, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
8,0,1,0.6,0.4739454094292804,0.37614667154631226,127.2,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
8,1,1,0.6,0.5075949367088608,0.3965429734161179,122.8,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
8,2,1,0.6,0.5031685678073511,0.3994791427074314,126.9,"{""n_estimators"": 100, ""min_samples_leaf"": 1, ""max_features"": 0.6, ""class_weight"": ""balanced"", ""n_jobs"": -1}"
