cfg_id,seed,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,max_depth,learning_rate,reg_lambda,scale_pos_weight,colsample_bytree,subsample,params
0,0,0.6126126126126126,0.5968137254901961,0.5849758233792549,261,44.0,6,0.04136,25.5566,2.25,0.852,0.911,"{""max_depth"": 6, ""learning_rate"": 0.04136, ""reg_lambda"": 25.5566, ""scale_pos_weight"": 2.25, ""colsample_bytree"": 0.852, ""subsample"": 0.911, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,1,0.6242183058555998,0.6117216117216118,0.5968067595559162,425,73.3,6,0.04136,25.5566,2.25,0.852,0.911,"{""max_depth"": 6, ""learning_rate"": 0.04136, ""reg_lambda"": 25.5566, ""scale_pos_weight"": 2.25, ""colsample_bytree"": 0.852, ""subsample"": 0.911, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,2,0.6201641266119577,0.6099203919167177,0.5940742281241728,307,52.4,6,0.04136,25.5566,2.25,0.852,0.911,"{""max_depth"": 6, ""learning_rate"": 0.04136, ""reg_lambda"": 25.5566, ""scale_pos_weight"": 2.25, ""colsample_bytree"": 0.852, ""subsample"": 0.911, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
1,0,0.6215743440233236,0.6180105944673338,0.5844618255408908,270,51.0,6,0.03901,0.1104,5.429,0.891,0.849,"{""max_depth"": 6, ""learning_rate"": 0.03901, ""reg_lambda"": 0.1104, ""scale_pos_weight"": 5.429, ""colsample_bytree"": 0.891, ""subsample"": 0.849, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
1,1,0.6191037735849056,0.6183518410286383,0.5816754149351827,246,45.4,6,0.03901,0.1104,5.429,0.891,0.849,"{""max_depth"": 6, ""learning_rate"": 0.03901, ""reg_lambda"": 0.1104, ""scale_pos_weight"": 5.429, ""colsample_bytree"": 0.891, ""subsample"": 0.849, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
1,2,0.6121718377088305,0.6094470046082949,0.582378837588594,225,42.2,6,0.03901,0.1104,5.429,0.891,0.849,"{""max_depth"": 6, ""learning_rate"": 0.03901, ""reg_lambda"": 0.1104, ""scale_pos_weight"": 5.429, ""colsample_bytree"": 0.891, ""subsample"": 0.849, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
2,0,0.6346381969157769,0.6195982958003652,0.5934547885506496,92,22.0,9,0.08123,3.2834,3.026,0.779,0.886,"{""max_depth"": 9, ""learning_rate"": 0.08123, ""reg_lambda"": 3.2834, ""scale_pos_weight"": 3.026, ""colsample_bytree"": 0.779, ""subsample"": 0.886, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
2,1,0.6281087333718912,0.587281795511222,0.5893399368060811,82,20.1,9,0.08123,3.2834,3.026,0.779,0.886,"{""max_depth"": 9, ""learning_rate"": 0.08123, ""reg_lambda"": 3.2834, ""scale_pos_weight"": 3.026, ""colsample_bytree"": 0.779, ""subsample"": 0.886, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
2,2,0.6360465116279069,0.6081582200247219,0.5980723568426798,123,29.2,9,0.08123,3.2834,3.026,0.779,0.886,"{""max_depth"": 9, ""learning_rate"": 0.08123, ""reg_lambda"": 3.2834, ""scale_pos_weight"": 3.026, ""colsample_bytree"": 0.779, ""subsample"": 0.886, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
3,0,0.6346381969157769,0.5942211055276382,0.5980555316503998,173,43.0,13,0.0435,0.02,4.415,0.663,0.785,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
3,1,0.6347878063359235,0.6041275797373359,0.5989752743789866,146,36.3,13,0.0435,0.02,4.415,0.663,0.785,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
3,2,0.6371158392434988,0.6032540675844806,0.5980808165821375,176,42.5,13,0.0435,0.02,4.415,0.663,0.785,"{""max_depth"": 13, ""learning_rate"": 0.0435, ""reg_lambda"": 0.02, ""scale_pos_weight"": 4.415, ""colsample_bytree"": 0.663, ""subsample"": 0.785, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
4,0,0.6283704572098476,0.5955835962145111,0.59205756805795,145,39.9,14,0.0801,0.0176,5.907,0.611,0.851,"{""max_depth"": 14, ""learning_rate"": 0.0801, ""reg_lambda"": 0.0176, ""scale_pos_weight"": 5.907, ""colsample_bytree"": 0.611, ""subsample"": 0.851, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
4,1,0.6381733021077284,0.5947302383939774,0.5970906242896861,86,26.2,14,0.0801,0.0176,5.907,0.611,0.851,"{""max_depth"": 14, ""learning_rate"": 0.0801, ""reg_lambda"": 0.0176, ""scale_pos_weight"": 5.907, ""colsample_bytree"": 0.611, ""subsample"": 0.851, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
4,2,0.6373626373626373,0.6028589185829708,0.6027751976836055,122,34.4,14,0.0801,0.0176,5.907,0.611,0.851,"{""max_depth"": 14, ""learning_rate"": 0.0801, ""reg_lambda"": 0.0176, ""scale_pos_weight"": 5.907, ""colsample_bytree"": 0.611, ""subsample"": 0.851, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
5,0,0.6220657276995305,0.5944931163954944,0.5829394146879253,100,29.8,15,0.08907,0.2335,8.418,0.726,0.895,"{""max_depth"": 15, ""learning_rate"": 0.08907, ""reg_lambda"": 0.2335, ""scale_pos_weight"": 8.418, ""colsample_bytree"": 0.726, ""subsample"": 0.895, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
5,1,0.6428152492668622,0.6077210460772104,0.5898394273467946,118,34.1,15,0.08907,0.2335,8.418,0.726,0.895,"{""max_depth"": 15, ""learning_rate"": 0.08907, ""reg_lambda"": 0.2335, ""scale_pos_weight"": 8.418, ""colsample_bytree"": 0.726, ""subsample"": 0.895, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
5,2,0.634828188701223,0.6165228113440198,0.5925246367355724,140,38.9,15,0.08907,0.2335,8.418,0.726,0.895,"{""max_depth"": 15, ""learning_rate"": 0.08907, ""reg_lambda"": 0.2335, ""scale_pos_weight"": 8.418, ""colsample_bytree"": 0.726, ""subsample"": 0.895, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
6,0,0.6292004634994206,0.5940224159402242,0.584360047028753,156,38.7,15,0.04772,0.4556,7.61,0.856,0.966,"{""max_depth"": 15, ""learning_rate"": 0.04772, ""reg_lambda"": 0.4556, ""scale_pos_weight"": 7.61, ""colsample_bytree"": 0.856, ""subsample"": 0.966, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
