round,r,f1_val,f1_val@0.5,pr_auc,n_tree,fit_s,max_depth,learning_rate,reg_lambda,scale_pos_weight,colsample_bytree,subsample,params
0,0.125,0.4918429003021148,0.0,0.3551797458560101,2,0.5,13,0.00803,0.0146,1.149,0.907,0.956,"{""max_depth"": 13, ""learning_rate"": 0.00803, ""reg_lambda"": 0.0146, ""scale_pos_weight"": 1.149, ""colsample_bytree"": 0.907, ""subsample"": 0.956, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4988584474885845,0.0,0.326309450273532,21,0.5,10,0.0257,8.2792,5.893,0.968,0.908,"{""max_depth"": 10, ""learning_rate"": 0.0257, ""reg_lambda"": 8.2792, ""scale_pos_weight"": 5.893, ""colsample_bytree"": 0.968, ""subsample"": 0.908, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4518987341772152,0.3545558520777735,0.3917761763687177,149,1.6,11,0.06111,0.0136,7.567,0.588,0.932,"{""max_depth"": 11, ""learning_rate"": 0.06111, ""reg_lambda"": 0.0136, ""scale_pos_weight"": 7.567, ""colsample_bytree"": 0.588, ""subsample"": 0.932, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.03690083162689623,0.0,0.015601275017010113,1,0.3,1,0.02052,0.1581,4.804,0.514,0.562,"{""max_depth"": 1, ""learning_rate"": 0.02052, ""reg_lambda"": 0.1581, ""scale_pos_weight"": 4.804, ""colsample_bytree"": 0.514, ""subsample"": 0.562, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.042188628496002786,0.0,0.017794144535641127,8,0.3,1,0.02957,2.8943,4.453,0.999,0.99,"{""max_depth"": 1, ""learning_rate"": 0.02957, ""reg_lambda"": 2.8943, ""scale_pos_weight"": 4.453, ""colsample_bytree"": 0.999, ""subsample"": 0.99, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4314606741573034,0.22417934347477983,0.3486209335841029,23,0.5,11,0.03375,3.9979,7.196,0.694,0.568,"{""max_depth"": 11, ""learning_rate"": 0.03375, ""reg_lambda"": 3.9979, ""scale_pos_weight"": 7.196, ""colsample_bytree"": 0.694, ""subsample"": 0.568, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.5123384253819037,0.0,0.3488729190247269,18,0.5,9,0.01941,0.1742,5.373,0.945,0.967,"{""max_depth"": 9, ""learning_rate"": 0.01941, ""reg_lambda"": 0.1742, ""scale_pos_weight"": 5.373, ""colsample_bytree"": 0.945, ""subsample"": 0.967, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4942528735632184,0.0,0.30716348757861295,7,0.4,11,0.01088,1.9325,3.897,0.797,0.669,"{""max_depth"": 11, ""learning_rate"": 0.01088, ""reg_lambda"": 1.9325, ""scale_pos_weight"": 3.897, ""colsample_bytree"": 0.797, ""subsample"": 0.669, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.37487335359675783,0.3573200992555831,0.3160208503867841,39,0.7,12,0.06846,0.081,6.609,0.542,0.916,"{""max_depth"": 12, ""learning_rate"": 0.06846, ""reg_lambda"": 0.081, ""scale_pos_weight"": 6.609, ""colsample_bytree"": 0.542, ""subsample"": 0.916, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
0,0.125,0.4909197422378442,0.16624685138539042,0.4082758468968872,13,0.4,6,0.04793,0.0907,8.888,0.529,0.668,"{""max_depth"": 6, ""learning_rate"": 0.04793, ""reg_lambda"": 0.0907, ""scale_pos_weight"": 8.888, ""colsample_bytree"": 0.529, ""subsample"": 0.668, ""n_estimators"": 1000, ""early_stopping_rounds"": 20, ""tree_method"": ""hist"", ""n_jobs"": -1}"
